split	fold	model	query_id	n_candidates	n_positives	best_positive_rank	H1	H10	H50	MRR	Recall_at_1pct
Random-edge	0	B	C1=C(NC=N1)C[C@@H](C(=O)O)N	6456	1	1287	0.0	0.0	0.0	0.0007770007770007	0.0
Random-edge	0	F	C1=C(NC=N1)C[C@@H](C(=O)O)N	6456	1	1287	0.0	0.0	0.0	0.0007770007770007	0.0
Random-edge	0	T_P	C1=CC(=C(C(=C1)O)C(=O)C2=CC(=C(N2)Cl)Cl)O	6455	1	3	0.0	1.0	1.0	0.3333333333333333	1.0
Random-edge	0	T_L	C1=CC(=C(C(=C1)O)C(=O)C2=CC(=C(N2)Cl)Cl)O	6455	1	5834	0.0	0.0	0.0	0.0001714089818306	0.0
Random-edge	0	Dstar	C1=CC(=C(C(=C1)O)C(=O)C2=CC(=C(N2)Cl)Cl)O	6455	1	320	0.0	0.0	0.0	0.003125	0.0
Random-edge	0	B	C1=CC(=C(C(=C1)O)C(=O)C2=CC(=C(N2)Cl)Cl)O	6455	1	3	0.0	1.0	1.0	0.3333333333333333	1.0
Random-edge	0	F	C1=CC(=C(C(=C1)O)C(=O)C2=CC(=C(N2)Cl)Cl)O	6455	1	3	0.0	1.0	1.0	0.3333333333333333	1.0
Random-edge	0	T_P	C1=CC(=C(C(=C1)[O-])C(=O)O)O	6457	1	342	0.0	0.0	0.0	0.0029239766081871	0.0
Random-edge	0	T_L	C1=CC(=C(C(=C1)[O-])C(=O)O)O	6457	1	727	0.0	0.0	0.0	0.0013755158184319	0.0
Random-edge	0	Dstar	C1=CC(=C(C(=C1)[O-])C(=O)O)O	6457	1	221	0.0	0.0	0.0	0.004524886877828	0.0
Random-edge	0	B	C1=CC(=C(C(=C1)[O-])C(=O)O)O	6457	1	113	0.0	0.0	0.0	0.0088495575221238	0.0
Random-edge	0	F	C1=CC(=C(C(=C1)[O-])C(=O)O)O	6457	1	116	0.0	0.0	0.0	0.0086206896551724	0.0
Random-edge	0	T_P	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	6454	1	4	0.0	1.0	1.0	0.25	1.0
Random-edge	0	T_L	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	6454	1	6352	0.0	0.0	0.0	0.0001574307304785	0.0
Random-edge	0	Dstar	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	6454	1	79	0.0	0.0	0.0	0.0126582278481012	0.0
Random-edge	0	B	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	6454	1	4	0.0	1.0	1.0	0.25	1.0
Random-edge	0	F	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	6454	1	12	0.0	0.0	1.0	0.0833333333333333	1.0
